"player_name","position","team","headshot_href","streak_total5","streak_total10","status","reason"
"John Collins","F","UTAH","https://a.espncdn.com/i/headshots/nba/players/full/3908845.png",76.5558988620238,72.1222562431376,"— Steady","Recent form (67.8) is close to season avg (68.4)"
"Guerschon Yabusele","F","PHI","https://a.espncdn.com/i/headshots/nba/players/full/4017844.png",77.1186047361179,71.9396331047326,"— Steady","Recent form (68) is close to season avg (64.1)"
"De'Andre Hunter","F","CLE","https://a.espncdn.com/i/headshots/nba/players/full/4065732.png",55.4946816867529,71.9053188351514,"— Steady","Recent form (58.9) is close to season avg (63.1)"
"Harrison Barnes","F","SA","https://a.espncdn.com/i/headshots/nba/players/full/6578.png",81.9515944960741,71.8728365686138,"— Steady","Recent form (70.4) is close to season avg (63.4)"
"Jusuf Nurkić","C","CHA","https://a.espncdn.com/i/headshots/nba/players/full/3102530.png",67.7161346406449,71.8307078275982,"— Steady","Recent form (64) is close to season avg (67)"
"Christian Braun","G","DEN","https://a.espncdn.com/i/headshots/nba/players/full/4431767.png",67.9314119782322,71.697810628293,"— Steady","Recent form (64) is close to season avg (69.8)"
"Keegan Murray","F","SAC","https://a.espncdn.com/i/headshots/nba/players/full/4594327.png",81.6809623732485,71.1773380754874,"— Steady","Recent form (70.3) is close to season avg (64.6)"
"Cam Thomas","G","BKN","https://a.espncdn.com/i/headshots/nba/players/full/4432174.png",72.816405865924,71.1438691318629,"— Steady","Recent form (66.1) is close to season avg (62.7)"
"Jaylen Brown","G","BOS","https://a.espncdn.com/i/headshots/nba/players/full/3917376.png",73.516887596254,71.0902131468766,"— Steady","Recent form (66.4) is close to season avg (71.2)"
"Nic Claxton","C","BKN","https://a.espncdn.com/i/headshots/nba/players/full/4278067.png",81.2176168004674,71.0098151205902,"— Steady","Recent form (70) is close to season avg (65.6)"
"Herbert Jones","F","NO","https://a.espncdn.com/i/headshots/nba/players/full/4277813.png",65.130884677116,70.9539132863733,"— Steady","Recent form (62.9) is close to season avg (63.3)"
